Fecha,Contrato,Usuario,Nodo Comercial Recepción,Descripción Nodo Comercial Recepción ,Nodo Comercial Entrega,Descripción Nodo Comercial Entrega,Zona de Tarifa de Inyección,Zona de Tarifa de Extracción,Cantidad Nominada Recepción (GJ/día),Cantidad Asignada Recepción (GJ/día),Cantidad Nominada Entrega (GJ/día),Cantidad Asignada Entrega (GJ/día), Gas en Exceso (GJ/día),Tarifa Exceso Firme (Pesos/GJ) ,Tarifa Uso Interrumpible (Pesos/GJ),Cargo Uso (Pesos),Cargo Gas en Exceso (Pesos),Total a facturar (Pesos)
12/01/2021,CENAGAS/B/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,691.567,691.567,680,680,0.00,15.847040,15.847040,0.00,0.00,0.00
12/01/2021,CENAGAS/B/100/17,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,2924.921,2066.858,2876,2876,7.00,7.876970,7.876970,0.00,55.14,55.14
13/01/2021,CENAGAS/A/500/18,Comisión Federal de Electricidad,V045,PEPMENDOZA,E168,CFESALAMANCACOG,Zona 7,Zona 6,0,0,0,0,0.00,1.419390,1.419390,0.00,0.00,0.00
13/01/2021,CENAGAS/A/100/18,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,3572.756,3572.756,3513,3925.608,0.00,1.419390,1.419390,0.00,0.00,0.00
13/01/2021,CENAGAS/B/100/19,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,915.309,915.309,900,900,0.00,17.087160,17.087160,0.00,0.00,0.00
13/01/2021,CENAGAS/A/900/17,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,61.021,61.021,60,346.657,0.00,3.667480,3.667480,1271.36,0.00,1271.36
13/01/2021,CENAGAS/A/500/17,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,0,0,0,0,0.00,13.713330,13.713330,0.00,0.00,0.00
13/01/2021,CENAGAS/A/200/18,Naturgy Servicios,V033,IMPTENNESSEE,N103,NORESTE,Zona 3,Zona 3,130.177,130.177,128,0,0.00,15.847040,15.847040,0.00,0.00,0.00
13/01/2021,CENAGAS/A/300/17,Enestas,V907,LAVENTA,N031,MORELIA2,Zona 8,Zona 6,1477.716,1477.716,1453,1617.996,0.00,17.087160,17.087160,27646.96,0.00,27646.96
13/01/2021,CENAGAS/B/200/19,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,3024.588,3024.588,2974,3782.838,0.00,17.087160,17.087160,64637.96,0.00,64637.96
13/01/2021,CENAGAS/B/600/17,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,1118.711,1118.711,1100,7225.938,0.00,3.667480,3.667480,26500.98,0.00,26500.98
13/01/2021,CENAGAS/B/300/17,Enestas,V907,LAVENTA,N031,MORELIA2,Zona 8,Zona 6,1249.905,1249.905,1229,1703.774,0.00,17.087160,17.087160,29112.66,0.00,29112.66
13/01/2021,CENAGAS/A/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,981.415,981.415,965,1028.079,0.00,15.847040,15.847040,16292.01,0.00,16292.01
13/01/2021,CENAGAS/A/900/18,Energía Infra,V030,GLORIADIOS,N128,EZAPATA2,Zona 1,Zona 5,5401.34,5401.34,5311,2551.881,0.00,13.713330,13.713330,34994.79,0.00,34994.79
